title_jp,title_en,format,source,release_date,end_date,season,episodes,duration (min),genres,score,average_score,popularity
Murenase! Seton Gakuen,Seton Academy: Join the Pack!,TV,MANGA,"{'year': 2020, 'month': 1, 'day': 7}","{'year': 2020, 'month': 3, 'day': 24}",WINTER,12,24,"['Comedy', 'Ecchi', 'Romance']",7.0,67,50204
Musekinin Kanchou Tylor,The Irresponsible Captain Tylor,TV,LIGHT_NOVEL,"{'year': 1993, 'month': 1, 'day': 25}","{'year': 1993, 'month': 7, 'day': 19}",WINTER,26,24,"['Adventure', 'Comedy', 'Sci-Fi']",8.0,75,13531
Mushibugyou,Mushibugyo,TV,MANGA,"{'year': 2013, 'month': 4, 'day': 8}","{'year': 2013, 'month': 9, 'day': 30}",SPRING,26,23,"['Action', 'Ecchi', 'Fantasy']",7.0,69,16585
Nagi no Asukara,A Lull in the Sea (Nagi-Asu: Nagi no Asukara),TV,ORIGINAL,"{'year': 2013, 'month': 10, 'day': 3}","{'year': 2014, 'month': 4, 'day': 3}",FALL,26,24,"['Drama', 'Fantasy', 'Romance', 'Slice of Life']",9.0,77,122265
Nanatsu no Taizai,The Seven Deadly Sins,TV,MANGA,"{'year': 2014, 'month': 10, 'day': 5}","{'year': 2015, 'month': 3, 'day': 29}",FALL,24,25,"['Action', 'Adventure', 'Comedy', 'Ecchi', 'Fantasy', 'Supernatural']",6.0,73,450731
Nande Koko ni Sensei ga!?,"Why the hell are you here, Teacher!?",TV_SHORT,MANGA,"{'year': 2019, 'month': 4, 'day': 8}","{'year': 2019, 'month': 6, 'day': 24}",SPRING,12,12,"['Comedy', 'Ecchi', 'Romance']",4.0,62,93355
NARUTO,Naruto,TV,MANGA,"{'year': 2002, 'month': 10, 'day': 3}","{'year': 2007, 'month': 2, 'day': 8}",FALL,220,23,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Supernatural']",8.0,79,599169
NARUTO: Shippuuden,Naruto: Shippuden,TV,MANGA,"{'year': 2007, 'month': 2, 'day': 15}","{'year': 2017, 'month': 3, 'day': 23}",WINTER,500,23,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Supernatural']",7.0,81,508431
Natsu e no Tobira,,MOVIE,MANGA,"{'year': 1981, 'month': 3, 'day': 20}","{'year': 1981, 'month': 3, 'day': 20}",SPRING,1,59,"['Drama', 'Romance']",8.0,57,2694
Natsume Yuujinchou,Natsume's Book of Friends Season 1,TV,MANGA,"{'year': 2008, 'month': 7, 'day': 8}","{'year': 2008, 'month': 9, 'day': 30}",SUMMER,13,24,"['Drama', 'Fantasy', 'Slice of Life', 'Supernatural']",8.0,80,110206
Natsume Yuujinchou San,Natsume's Book of Friends Season 3,TV,MANGA,"{'year': 2011, 'month': 7, 'day': 5}","{'year': 2011, 'month': 9, 'day': 27}",SUMMER,13,24,"['Drama', 'Fantasy', 'Slice of Life', 'Supernatural']",8.0,84,43492
Nazo no Kanojo X,Mysterious Girlfriend X,TV,MANGA,"{'year': 2012, 'month': 4, 'day': 8}","{'year': 2012, 'month': 7, 'day': 1}",SPRING,13,24,"['Ecchi', 'Mystery', 'Romance']",8.0,69,67925
Nejimaki Seirei Senki: Tenkyou no Alderamin,Alderamin on the Sky,TV,LIGHT_NOVEL,"{'year': 2016, 'month': 7, 'day': 9}","{'year': 2016, 'month': 10, 'day': 1}",SUMMER,13,23,"['Action', 'Adventure', 'Drama', 'Fantasy']",8.0,73,65536
Nekomonogatari (Kuro),Nekomonogatari Black,TV,LIGHT_NOVEL,"{'year': 2012, 'month': 12, 'day': 31}","{'year': 2012, 'month': 12, 'day': 31}",FALL,4,27,"['Drama', 'Mystery', 'Psychological', 'Romance', 'Supernatural']",9.0,77,133717
